episode,stage,target,dialect,instruction,start_step,end_step,length,mean_ax,mean_ay
85,1,cobalt,gemma,approach the cobalt beacon,17,35,19,-0.24180098209754486,0.9544484309313271
85,2,amber,gemma,head toward the amber beacon,36,53,18,-1.026948532263203,-0.3381224586564094
85,3,depot,gemma,take the payload to the depot,54,71,18,0.4876073763886408,-0.8132564041329806
86,0,mint,qwen,proceed to green mint,0,15,16,0.406274115792899,-0.5063159285355517
86,1,cobalt,qwen,travel to blue cobalt,16,33,18,-0.24239829965080575,0.9750326261281638
86,2,amber,qwen,navigate to orange amber,34,51,18,-1.0117708185614953,-0.37095247989472374
86,3,depot,qwen,finish at the delivery bay,52,69,18,0.4741053211262568,-0.7890362489217206
87,0,amber,gpt,visit the warm amber marker,0,49,50,-0.7819882141062574,0.5269124879207687
87,1,cobalt,gpt,reach the cool cobalt marker,50,67,18,1.0326462177174422,-0.09470428958243882
87,2,depot,gpt,return to the dropoff depot,68,101,34,-1.3579344777896072,-1.0208611560130072
88,0,mint,canonical,go to the mint station,0,21,22,0.9449429140426797,-0.877011320298513
88,1,amber,canonical,go to the amber station,22,55,34,-1.1511503718400158,1.1014594768020785
88,2,depot,canonical,deliver at the depot,56,73,18,0.17542128471484697,-0.9401143186433247
89,0,mint,gemma,move to the mint terminal,0,14,15,0.518687052888507,-0.48513160885346324
89,1,amber,gemma,head toward the amber beacon,15,38,24,-1.0773525031989026,0.9636413463920851
89,2,depot,gemma,take the payload to the depot,39,57,19,0.34448692386491037,-1.008217988920198
90,0,mint,qwen,proceed to green mint,0,26,27,1.2449556211267805,-1.1370228888421652
90,1,amber,qwen,navigate to orange amber,27,50,24,-1.0580016802659808,0.9291956175567577
90,2,depot,qwen,finish at the delivery bay,51,69,19,0.32588928217351887,-1.0177395574495904
91,0,mint,gpt,seek the mint-green marker,0,15,16,0.6071561125296637,-0.593228697350789
91,1,cobalt,gpt,reach the cool cobalt marker,16,33,18,-0.2711061638644991,1.0317978885949097
91,2,amber,gpt,visit the warm amber marker,34,52,19,-0.8650197196556477,-0.3434259525041887
91,3,depot,gpt,return to the dropoff depot,53,70,18,0.388973674701939,-0.793207420386555
92,0,cobalt,canonical,go to the cobalt station,0,22,23,0.8050208051223222,0.9425239018937437
92,1,amber,canonical,go to the amber station,23,41,19,-1.0092564361420404,-0.1598454397812641
92,2,mint,canonical,go to the mint station,42,76,35,1.6530918913256445,-1.2862339382310901
92,3,depot,canonical,deliver at the depot,77,95,19,-1.0380687612578492,0.17831458266452166
93,0,cobalt,gemma,approach the cobalt beacon,0,36,37,0.9392459177125222,0.47969976779910806
93,1,mint,gemma,move to the mint terminal,37,53,17,-0.08839761625187881,-0.9762331830867685
93,2,depot,gemma,take the payload to the depot,54,72,19,-0.8743637822409817,0.3593215411054721
94,0,cobalt,qwen,travel to blue cobalt,0,27,28,0.8147504124075338,0.654809798716213
94,1,mint,qwen,proceed to green mint,28,45,18,-0.09201284554512618,-0.9323602016514333
94,2,depot,qwen,finish at the delivery bay,46,63,18,-0.975641292260316,0.331241640739441
95,0,cobalt,gpt,reach the cool cobalt marker,0,23,24,0.6323097899803828,0.5161221272857027
95,1,mint,gpt,seek the mint-green marker,24,41,18,-0.11070571463746742,-0.9136253224865987
95,2,depot,gpt,return to the dropoff depot,42,60,19,-0.9364234806557113,0.35269359508802944
96,0,cobalt,canonical,go to the cobalt station,0,21,22,0.7984200930573541,1.0221845197234716
96,1,mint,canonical,go to the mint station,22,39,18,-0.1284887399616469,-1.0257748579865427
96,2,depot,canonical,deliver at the depot,40,58,19,-0.9049683777343658,0.35831244592468814
97,0,amber,gemma,head toward the amber beacon,0,22,23,-0.7159959624613288,0.47933792674750586
97,1,mint,gemma,move to the mint terminal,23,58,36,1.3898336382872958,-1.252834417831794
97,2,cobalt,gemma,approach the cobalt beacon,59,76,18,-0.2522309286766762,0.9895682108614388
97,3,depot,gemma,take the payload to the depot,77,120,44,-0.9600257907883903,-1.3152986177529404
98,0,mint,qwen,proceed to green mint,0,14,15,0.45177776495002037,-0.5389253575276077
98,1,amber,qwen,navigate to orange amber,15,43,29,-1.1847438234985677,1.0733369367147778
98,2,depot,qwen,finish at the delivery bay,44,61,18,0.2029808369220776,-1.0140944987281584
99,0,cobalt,gpt,reach the cool cobalt marker,0,15,16,0.48403199390264573,0.4942700387731516
99,1,mint,gpt,seek the mint-green marker,16,33,18,-0.19462357193395852,-1.0251839809916852
99,2,depot,gpt,return to the dropoff depot,34,51,18,-0.9779857651740067,0.34499925573629997
100,0,cobalt,canonical,go to the cobalt station,0,15,16,0.53776628292582,0.468226288014063
100,1,amber,canonical,go to the amber station,16,34,19,-1.0662808096660028,-0.195733953380716
100,2,mint,canonical,go to the mint station,35,64,30,1.5486404894761254,-1.2780841501538271
100,3,depot,canonical,deliver at the depot,65,83,19,-1.1645270504782863,0.23060508083277248
101,0,amber,gemma,head toward the amber beacon,0,15,16,-0.5115150085465834,0.5041396495862439
101,1,cobalt,gemma,approach the cobalt beacon,16,34,19,1.0480030197140604,-0.2048024340551283
101,2,depot,gemma,take the payload to the depot,35,58,24,-1.2183057155706123,-0.8284487856859956
102,0,mint,qwen,proceed to green mint,0,16,17,0.5685676699197648,-0.5275632286117666
102,1,amber,qwen,navigate to orange amber,17,49,33,-1.3588242808354152,1.145307625454928
102,2,depot,qwen,finish at the delivery bay,50,67,18,0.20584532305955852,-0.977658634216503
103,0,mint,gpt,seek the mint-green marker,0,14,15,0.5354111801923233,-0.3957198517450304
103,1,cobalt,gpt,reach the cool cobalt marker,15,32,18,-0.24858671375359734,0.9651246176102037
103,2,amber,gpt,visit the warm amber marker,33,51,19,-0.914964863047345,-0.32327180721278687
103,3,depot,gpt,return to the dropoff depot,52,69,18,0.42275909226141084,-0.8086488928711942
104,0,mint,canonical,go to the mint station,0,14,15,0.49007108504460106,-0.5038896173009236
104,1,amber,canonical,go to the amber station,15,38,24,-1.0401833428084541,0.9384685266816511
104,2,depot,canonical,deliver at the depot,39,57,19,0.3285656938274551,-1.0031985249567148
105,0,amber,gemma,head toward the amber beacon,0,14,15,-0.504168200455457,0.4050176447263647
105,1,cobalt,gemma,approach the cobalt beacon,15,33,19,1.00710176336369,-0.1812642698347081
105,2,depot,gemma,take the payload to the depot,34,60,27,-1.4578089662668634,-1.0514458210940154
106,0,amber,qwen,navigate to orange amber,0,15,16,-0.4963136477845082,0.48112208649817373
106,1,cobalt,qwen,travel to blue cobalt,16,34,19,1.027536568801703,-0.22355338232592903
106,2,depot,qwen,finish at the delivery bay,35,63,29,-1.548213810450061,-1.186764636560674
107,0,cobalt,gpt,reach the cool cobalt marker,0,14,15,0.41870111902739165,0.49803701986792936
107,1,mint,gpt,seek the mint-green marker,15,32,18,-0.15474161833970942,-1.0001434498685946
107,2,depot,gpt,return to the dropoff depot,33,51,19,-0.9164060756745153,0.34093969252646533
108,0,mint,canonical,go to the mint station,0,15,16,0.5431604118035125,-0.6014095074436983
108,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.24047736996917538,1.070461958759904
108,2,amber,canonical,go to the amber station,34,52,19,-0.9195227426712704,-0.3675204849615211
108,3,depot,canonical,deliver at the depot,53,70,18,0.4082661418842146,-0.8004944194256961
109,0,mint,gemma,move to the mint terminal,0,26,27,0.9324900383269776,-0.8391994129627354
109,1,amber,gemma,head toward the amber beacon,27,50,24,-1.0640886343855402,0.9366246690325002
109,2,depot,gemma,take the payload to the depot,51,69,19,0.3233441038280585,-1.0101333054414667
110,0,mint,qwen,proceed to green mint,0,15,16,0.49972196015121967,-0.4477377936030131
110,1,cobalt,qwen,travel to blue cobalt,16,33,18,-0.21353417477024894,0.9703802116686495
110,2,amber,qwen,navigate to orange amber,34,52,19,-0.9261672567554126,-0.3341910653817372
110,3,depot,qwen,finish at the delivery bay,53,70,18,0.4170943376148209,-0.7916393786158268
111,0,mint,gpt,seek the mint-green marker,0,15,16,0.6004364888919985,-0.5264152563346312
111,1,cobalt,gpt,reach the cool cobalt marker,16,34,19,-0.26760394552408107,0.9704090463839307
111,2,amber,gpt,visit the warm amber marker,35,53,19,-0.9126184537943525,-0.3417346656465831
111,3,depot,gpt,return to the dropoff depot,54,71,18,0.4049594697138596,-0.7707701171262751
112,0,amber,canonical,go to the amber station,0,25,26,-1.1325778960012833,0.9969715173957301
112,1,mint,canonical,go to the mint station,26,55,30,1.2566084658761427,-1.0652461678518557
112,2,cobalt,canonical,go to the cobalt station,56,73,18,-0.18189129462029505,1.002893060990597
112,3,depot,canonical,deliver at the depot,74,107,34,-1.1205404967071215,-1.2206543776490455
113,0,mint,gemma,move to the mint terminal,0,15,16,0.6569124683274479,-0.6081279675719926
113,1,cobalt,gemma,approach the cobalt beacon,16,34,19,-0.2887997825022717,0.9763169189426604
113,2,amber,gemma,head toward the amber beacon,35,52,18,-1.020863726199788,-0.31044230415677443
113,3,depot,gemma,take the payload to the depot,53,70,18,0.4703890742391191,-0.812104272769767
114,0,mint,qwen,proceed to green mint,0,18,19,0.5437865699178666,-0.777952242409865
114,1,amber,qwen,navigate to orange amber,19,55,37,-1.1519707011173022,0.9096518453261215
114,2,depot,qwen,finish at the delivery bay,56,73,18,0.138217044394268,-0.963151214575104
115,0,amber,gpt,visit the warm amber marker,0,24,25,-0.8683845409932469,0.8672527168302788
115,1,cobalt,gpt,reach the cool cobalt marker,25,42,18,1.1191419226401935,-0.11461043523897725
115,2,depot,gpt,return to the dropoff depot,43,72,30,-1.4306500465881746,-0.9946762450349779
116,0,cobalt,canonical,go to the cobalt station,0,14,15,0.4258386387008272,0.44860333471167807
116,1,amber,canonical,go to the amber station,15,33,19,-1.0011191986144863,-0.17020107054715033
116,2,mint,canonical,go to the mint station,34,57,24,1.2641500701031811,-0.8541776439956156
116,3,depot,canonical,deliver at the depot,58,76,19,-1.1627502273856691,0.24564539116002648
117,0,mint,gemma,move to the mint terminal,0,15,16,0.6206740547325929,-0.5874585956080219
117,1,amber,gemma,head toward the amber beacon,16,46,31,-1.3512123178408335,1.1765528685738287
117,2,depot,gemma,take the payload to the depot,47,64,18,0.2473185296637047,-1.0235706566698244
118,0,mint,qwen,proceed to green mint,0,23,24,0.8978461018200541,-0.5920341013491351
118,1,cobalt,qwen,travel to blue cobalt,24,41,18,-0.1940531006265428,0.9081382783701706
118,2,amber,qwen,navigate to orange amber,42,60,19,-0.9663960831559119,-0.3446567610977388
118,3,depot,qwen,finish at the delivery bay,61,78,18,0.4175349383559238,-0.7938683761316383
119,0,amber,gpt,visit the warm amber marker,0,19,20,-1.2535643142442248,0.7098040445051482
119,1,cobalt,gpt,reach the cool cobalt marker,20,38,19,1.0837131755417466,-0.12328092244467367
119,2,depot,gpt,return to the dropoff depot,39,76,38,-1.473544569958473,-1.2222800736024015
120,0,amber,canonical,go to the amber station,0,20,21,-0.9647866408281184,0.7534497233087263
120,1,mint,canonical,go to the mint station,21,57,37,1.0770150732746968,-0.832942901451942
120,2,cobalt,canonical,go to the cobalt station,58,74,17,-0.11524535304111905,0.9625419523615814
120,3,depot,canonical,deliver at the depot,75,105,31,-0.9500740760378092,-1.214940410422874
121,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.48987342478505097,0.6052899437268258
121,1,mint,gemma,move to the mint terminal,16,33,18,-0.19323317724016595,-1.057234837605538
121,2,depot,gemma,take the payload to the depot,34,51,18,-1.019057996573479,0.3790699194113986
122,0,amber,qwen,navigate to orange amber,0,15,16,-0.5703578272976692,0.5168470162184813
122,1,cobalt,qwen,travel to blue cobalt,16,34,19,1.0747828354942985,-0.20345285525410461
122,2,depot,qwen,finish at the delivery bay,35,58,24,-1.2129483316715206,-0.8094380161263972
123,0,cobalt,gpt,reach the cool cobalt marker,0,15,16,0.4661048658040827,0.6253019197275317
123,1,mint,gpt,seek the mint-green marker,16,34,19,-0.15867542472069154,-1.0371575037217102
123,2,depot,gpt,return to the dropoff depot,35,52,18,-1.0151560124056378,0.3645299726805423
124,0,cobalt,canonical,go to the cobalt station,0,15,16,0.4665213773349718,0.5525168716304544
124,1,amber,canonical,go to the amber station,16,34,19,-1.03899539866273,-0.24271611947123548
124,2,mint,canonical,go to the mint station,35,62,28,1.3821554529228381,-1.0038669889673895
124,3,depot,canonical,deliver at the depot,63,81,19,-1.118584877765082,0.20161818243616783
125,0,mint,gemma,move to the mint terminal,0,15,16,0.44742078869721824,-0.5180006103241845
125,1,cobalt,gemma,approach the cobalt beacon,16,34,19,-0.18879981367984058,0.9362557778813814
125,2,amber,gemma,head toward the amber beacon,35,53,19,-0.943929873697968,-0.33976949253441185
125,3,depot,gemma,take the payload to the depot,54,71,18,0.4220487738819211,-0.7920440925368957
126,0,amber,qwen,navigate to orange amber,0,21,22,-1.211369398542175,0.761866754452204
126,1,mint,qwen,proceed to green mint,22,49,28,1.4440654067504064,-1.2576905389977975
126,2,cobalt,qwen,travel to blue cobalt,50,68,19,-0.3200844552912874,1.0097949004413846
126,3,depot,qwen,finish at the delivery bay,69,92,24,-0.9020042719304516,-1.1124204275352307
127,0,cobalt,gpt,reach the cool cobalt marker,0,23,24,0.7803649200974258,0.4069074856798997
127,1,amber,gpt,visit the warm amber marker,24,41,18,-1.0443360663847843,-0.06884950822151265
127,2,mint,gpt,seek the mint-green marker,42,69,28,1.4768656069569672,-1.04285885448629
127,3,depot,gpt,return to the dropoff depot,70,88,19,-1.111497175587833,0.23865978417270528
128,0,cobalt,canonical,go to the cobalt station,0,28,29,0.7201168515288711,0.8032169647809787
128,1,mint,canonical,go to the mint station,29,46,18,-0.11178536039764359,-0.8724057024604444
128,2,depot,canonical,deliver at the depot,47,65,19,-0.9091425895651069,0.3242460588820632
129,0,amber,gemma,head toward the amber beacon,0,15,16,-0.4180328126429441,0.4210239412418989
129,1,cobalt,gemma,approach the cobalt beacon,16,34,19,1.0071501060575,-0.19370525316732348
129,2,depot,gemma,take the payload to the depot,35,58,24,-1.2258669787332883,-0.8202437502889803
130,0,amber,qwen,navigate to orange amber,0,15,16,-0.5509774535992391,0.5363445426966211
130,1,cobalt,qwen,travel to blue cobalt,16,34,19,1.0755729127894131,-0.22716157581829008
130,2,depot,qwen,finish at the delivery bay,35,64,30,-1.4165978114570092,-1.2735005451741082
131,0,mint,gpt,seek the mint-green marker,0,14,15,0.49105936490690644,-0.4863547705867813
131,1,amber,gpt,visit the warm amber marker,15,50,36,-1.4720153407561836,1.329088042417552
131,2,depot,gpt,return to the dropoff depot,51,68,18,0.16517106035238616,-0.9806599743214949
132,0,amber,canonical,go to the amber station,0,48,49,-0.8309424483539181,0.7149055755119064
132,1,cobalt,canonical,go to the cobalt station,49,66,18,1.0149928666360344,-0.0749759890738241
132,2,depot,canonical,deliver at the depot,67,98,32,-1.4019580570693422,-0.9744002730648489
133,0,amber,gemma,head toward the amber beacon,0,20,21,-1.0304958479148396,0.6603585146175218
133,1,mint,gemma,move to the mint terminal,21,44,24,1.06295509556449,-0.9101431376126635
133,2,cobalt,gemma,approach the cobalt beacon,45,62,18,-0.3057871608362603,1.0619618945914442
133,3,depot,gemma,take the payload to the depot,63,86,24,-0.9028711237392978,-1.1254899870954242
134,0,amber,qwen,navigate to orange amber,0,21,22,-0.7620699446812271,0.8647602161030861
134,1,cobalt,qwen,travel to blue cobalt,22,39,18,1.0524704687410678,-0.18608939309721814
134,2,depot,qwen,finish at the delivery bay,40,67,28,-1.4928150550472363,-1.1166674002884611
135,0,amber,gpt,visit the warm amber marker,0,22,23,-1.0149739269877331,0.6670055593932531
135,1,cobalt,gpt,reach the cool cobalt marker,23,40,18,1.1273914427821425,-0.1321566138258502
135,2,depot,gpt,return to the dropoff depot,41,64,24,-1.2478253542665325,-0.8332995582313664
136,0,mint,canonical,go to the mint station,0,15,16,0.6052241254850779,-0.3692777958148261
136,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.26750545486991073,0.9326042929093106
136,2,amber,canonical,go to the amber station,34,52,19,-0.9216202292138099,-0.3636210995985307
136,3,depot,canonical,deliver at the depot,53,70,18,0.40309367664199885,-0.8080030441228558
137,0,cobalt,gemma,approach the cobalt beacon,0,19,20,1.0326210297124239,0.7060397842948436
137,1,mint,gemma,move to the mint terminal,20,37,18,-0.2383135850298309,-0.9361321472893328
137,2,depot,gemma,take the payload to the depot,38,56,19,-0.975333343687714,0.35665604357731634
138,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.5413216245482486,0.45159342972032196
138,1,mint,qwen,proceed to green mint,16,33,18,-0.2465805276233148,-1.018229688094676
138,2,depot,qwen,finish at the delivery bay,34,52,19,-0.9330226514655586,0.3600068055081353
139,0,amber,gpt,visit the warm amber marker,0,19,20,-0.6888932047607936,0.7599959879968926
139,1,mint,gpt,seek the mint-green marker,20,43,24,1.0599952594773656,-0.9892169623790957
139,2,cobalt,gpt,reach the cool cobalt marker,44,62,19,-0.29748656476983976,0.9704777593908419
139,3,depot,gpt,return to the dropoff depot,63,91,29,-1.0303297655666777,-1.2135322687543537
140,0,amber,canonical,go to the amber station,0,19,20,-0.9005874148393769,0.8872973682105935
140,1,mint,canonical,go to the mint station,20,43,24,1.0501129270367038,-0.948318951880565
140,2,cobalt,canonical,go to the cobalt station,44,62,19,-0.2942194636287566,1.0005032115949717
140,3,depot,canonical,deliver at the depot,63,102,40,-1.6142650853597282,-1.5168106420505154
141,0,mint,gemma,move to the mint terminal,0,15,16,0.39337579498014763,-0.4975508459574419
141,1,amber,gemma,head toward the amber beacon,16,39,24,-1.041738794111037,0.9502365384896758
141,2,depot,gemma,take the payload to the depot,40,58,19,0.30028605601122915,-0.9985573952055985
142,0,amber,qwen,navigate to orange amber,0,36,37,-1.229204344053035,1.30083463275919
142,1,cobalt,qwen,travel to blue cobalt,37,54,18,1.0848243675334843,-0.07796189029159287
142,2,depot,qwen,finish at the delivery bay,55,81,27,-1.3037494854606575,-0.8895915897315625
143,0,cobalt,gpt,reach the cool cobalt marker,0,15,16,0.40782050203402653,0.3808183391838637
143,1,amber,gpt,visit the warm amber marker,16,34,19,-0.9517553039240214,-0.15173314554777753
143,2,mint,gpt,seek the mint-green marker,35,69,35,1.7028319741244964,-1.4001291815412389
143,3,depot,gpt,return to the dropoff depot,70,88,19,-1.0943402384562766,0.20926582198055813
144,0,cobalt,canonical,go to the cobalt station,0,15,16,0.5219980878356443,0.41515279256030474
144,1,mint,canonical,go to the mint station,16,33,18,-0.2015567446791773,-0.9709358198963292
144,2,depot,canonical,deliver at the depot,34,52,19,-0.877886170632793,0.3185178991757559
145,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.6692139083428444,0.4102759584754913
145,1,mint,gemma,move to the mint terminal,16,33,18,-0.26681545228718007,-0.9796819487952018
145,2,depot,gemma,take the payload to the depot,34,52,19,-0.9237223951205215,0.36009793456533645
146,0,amber,qwen,navigate to orange amber,0,15,16,-0.49664569693025823,0.4714819382345538
146,1,mint,qwen,proceed to green mint,16,44,29,1.2407946662392628,-1.0746357247834724
146,2,cobalt,qwen,travel to blue cobalt,45,62,18,-0.20852751479628304,0.9999087320611477
146,3,depot,qwen,finish at the delivery bay,63,94,32,-1.3119491457235588,-1.5061872521589486
147,0,amber,gpt,visit the warm amber marker,0,15,16,-0.5980840009672818,0.49192329383983985
147,1,cobalt,gpt,reach the cool cobalt marker,16,34,19,1.1994013829213006,-0.18035958768835605
147,2,depot,gpt,return to the dropoff depot,35,83,49,-1.5983128989812465,-1.2940564264117616
148,0,mint,canonical,go to the mint station,0,15,16,0.574197377312489,-0.3719354999965536
148,1,amber,canonical,go to the amber station,16,39,24,-1.084350114008217,0.9523648122429239
148,2,depot,canonical,deliver at the depot,40,58,19,0.32134097020299596,-1.0160825630129018
149,0,mint,gemma,move to the mint terminal,0,15,16,0.5920507261390258,-0.5073507732704071
149,1,cobalt,gemma,approach the cobalt beacon,16,34,19,-0.29480626606896115,0.9574983927712787
149,2,amber,gemma,head toward the amber beacon,35,52,18,-1.0215895444402752,-0.31479440308539125
149,3,depot,gemma,take the payload to the depot,53,70,18,0.49690159888329233,-0.810341139802659
